id,question,category,answer_format,n_matches,entity_match
1,What is the average rent price of all buildings that are located within 100 meters from the closest church in 1740?,spatial,a single number,1,0
2,What is the average building area of all buildings that are located within 100 meters from the closest church in 1808?,spatial,a single number,1,0
3,Which square has the highest density of tenants within 100 meters in 1740?,spatial,a single entity name,1,0
4,Which square has the highest density of buildings within 100 meters in 1808?,spatial,a single entity name,1,0
5,Is the building rent price correlated with the distance from the nearest square in 1740?,spatial,yes or no,1,0
6,Is the building area correlated with the distance from the nearest square in 1808?,spatial,yes or no,1,0
7,In which parish the houses are the most densely located in 1740?,spatial,a single entity name,1,1
8,In which district the houses are the most densely located in 1808?,spatial,a single entity name,1,1
9,In how many parishes there are more than 10 houses in 1740?,spatial,a single number,1,1
10,In how many parishes there are more than 1 school in 1740?,spatial,a single number,1,1
11,In how many parishes there are less than 10 shops in 1740?,spatial,a single number,1,1
12,In how many districts there are more than 10 houses in 1808?,spatial,a single number,1,1
13,In how many districts there are more than 1 school in 1808?,spatial,a single number,1,1
14,In how many districts there are less than 10 shops in 1808?,spatial,a single number,1,1
15,Are low-rent buildings with less than average rent price clustered in specific areas in 1740?,spatial,yes or no,0,0
16,Are small buildings with smaller than average building size clustered in specific areas in 1808?,spatial,yes or no,0,0
17,How many people live within 100 meters from the closest church in 1740?,spatial,a single number,1,0
18,How many people live within 100 meters from the closest church in 1808?,spatial,a single number,1,0
19,"On average, how much more expensive are houses near the squares within 100 meters compared to those further away in 1740?",spatial,a single number,2,1
20,"On average, how much more expensive are workshops near the squares within 100 meters compared to those further away in 1740?",spatial,a single number,2,1
21,"On average, how much more expensive are schools near the squares within 100 meters compared to those further away in 1740?",spatial,a single number,2,1
22,"On average, how much bigger are houses near the squares within 100 meters compared to those further away in 1808?",spatial,a single number,2,1
23,"On average, how much bigger are workshops near the squares within 100 meters compared to those further away in 1808?",spatial,a single number,2,1
24,"On average, how much bigger are schools near the squares within 100 meters compared to those further away in 1808?",spatial,a single number,2,1
25,"On average, how much more expensive are houses near the churches within 100 meters compared to those further away in 1740?",spatial,a single number,2,1
26,"On average, how much more expensive are workshops near the churches within 100 meters compared to those further away in 1740?",spatial,a single number,2,1
27,"On average, how much more expensive are schools near the churches within 100 meters compared to those further away in 1740?",spatial,a single number,2,1
28,"On average, how much bigger are houses near the churches within 100 meters compared to those further away in 1808?",spatial,a single number,2,1
29,"On average, how much bigger are workshops near the churches within 100 meters compared to those further away in 1808?",spatial,a single number,2,1
30,"On average, how much bigger are schools near the churches within 100 meters compared to those further away in 1808?",spatial,a single number,2,1
31,How many buildings are located around the square of San Marco within 100 meters in 1740?,spatial,a single number,1,1
32,How many buildings are located around the church of Saint Paul within 100 meters in 1740?,spatial,a single number,1,1
33,How many houses are located around the church of Saint Paul within 100 meters in 1740?,spatial,a single number,2,1
