question,query
"How many properties are there in ""la calle vicina al campiel dal panizza in arzere""?","SELECT COUNT(catastici.Property_ID) 
FROM catastici 
WHERE catastici.Property_Location = 'la calle vicina al campiel dal panizza in arzere';"
"What is the lowest income of ""francesco"" ""giustinian""?","SELECT MIN(catastici.Rent_Income) 
FROM catastici 
WHERE catastici.Owner_First_Name = 'francesco' AND catastici.Owner_Family_Name = 'giustinian';"
List all the types of properties in the dataset.,"SELECT DISTINCT catastici.Property_Type 
FROM catastici;"
"Who are the owners of the properties located at ""corte de cà celsi""?","SELECT DISTINCT catastici.Owner_First_Name, catastici.Owner_Family_Name
FROM catastici
WHERE catastici.Property_Location = 'corte de cà celsi';"
"What are the types of properties owned by ""francesco"" ""patarol""?","SELECT DISTINCT catastici.Property_Type
FROM catastici
WHERE catastici.Owner_First_Name = 'francesco' AND catastici.Owner_Family_Name = 'patarol';"
Which properties have a rent income higher than 50 ducati?,"SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name, catastici.Property_Type, catastici.Rent_Income, catastici.Property_Location 
FROM catastici 
WHERE catastici.Rent_Income > 50;"
Which property type generates the highest total rent income?,"SELECT catastici.Property_Type, SUM(catastici.Rent_Income) AS Total_Rent_Income
FROM catastici
GROUP BY catastici.Property_Type
ORDER BY Total_Rent_Income DESC
LIMIT 1;"
"What are the property types located in ""teren alli gesouiti""?","SELECT DISTINCT catastici.Property_Type
FROM catastici
WHERE catastici.Property_Location = 'teren alli gesouiti';"
"Which people own a ""bottega"" in ""fondamenta in fazza la beccaria""?","SELECT DISTINCT catastici.Owner_First_Name, catastici.Owner_Family_Name 
FROM catastici 
WHERE catastici.Property_Type = 'bottega' AND catastici.Property_Location = 'fondamenta in fazza la beccaria';"
What is the lowest rent income in the dataset?,"SELECT MIN(catastici.Rent_Income) AS Lowest_Rent_Income
FROM catastici;"
"Are there any properties in ""calle della malvasia"" with the type of ""casa""?","SELECT catastici.Property_ID, catastici.Rent_Income 
FROM catastici 
WHERE catastici.Property_Location = 'calle della malvasia' AND catastici.Property_Type = 'casa'
limit 1;"
"Who are the owners of ""magazen due"" type properties?","SELECT DISTINCT catastici.Owner_First_Name, catastici.Owner_Family_Name
FROM catastici
WHERE catastici.Property_Type = 'magazen due';"
"How many ""casa"" are there in the dataset?","SELECT COUNT(catastici.Property_ID) 
FROM catastici 
WHERE catastici.Property_Type = 'casa';"
What is the highest rent income in the dataset?,"SELECT MAX(catastici.Rent_Income) AS max_rent_income
FROM catastici;"
"Does ""iseppo maria"" ""gallo"" own a property in ""campiello della fraterna""?","SELECT catastici.Property_ID
FROM catastici
WHERE catastici.Owner_First_Name = 'iseppo maria' AND catastici.Owner_Family_Name = 'gallo' AND catastici.Property_Location = 'campiello della fraterna'
limit 1;"
"What types of properties does ""marin"" ""bernardo"" have?","SELECT DISTINCT catastici.Property_Type
FROM catastici
WHERE catastici.Owner_First_Name = 'marin' AND catastici.Owner_Family_Name = 'bernardo';"
What is the total number of properties listed in the dataset?,"SELECT COUNT(catastici.Property_ID) AS Total_Properties
FROM catastici;"
Which owner has a property with the highest rent income from a single property?,"SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name, MAX(catastici.Rent_Income) AS ""Max_Rent_Income""
FROM catastici;"
How many different locations are the properties located in?,"SELECT COUNT(DISTINCT catastici.Property_Location) AS num_locations
FROM catastici;"
"Which families own a property in ""rio san baseggio""?","SELECT DISTINCT catastici.Owner_Family_Name 
FROM catastici 
WHERE catastici.Property_Location = 'rio san baseggio';"
Is there any property with the rent income of 120 ducati?,"SELECT catastici.Property_ID 
FROM catastici 
WHERE catastici.Rent_Income = 120
Limit 1;"
"How many properties are listed as ""casa""?","SELECT COUNT(catastici.Property_ID) 
FROM catastici 
WHERE catastici.Property_Type = 'casa';"
Who owns the most properties in the dataset?,"SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name, COUNT(catastici.Property_ID) AS property_count
FROM catastici
GROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name
ORDER BY property_count DESC
LIMIT 1;"
"List all unique property types owned by ""marin"" ""bernardo"".","SELECT DISTINCT catastici.Property_Type
FROM catastici
WHERE catastici.Owner_First_Name = 'marin' AND catastici.Owner_Family_Name = 'bernardo';"
"What is the average rent income for all properties in ""al ponte di san provolo""?","SELECT AVG(catastici.Rent_Income) 
FROM catastici 
WHERE catastici.Property_Location = 'al ponte di san provolo';"
Are there any properties with the rent income lower than 60 ducati?,"SELECT catastici.Property_ID 
FROM catastici 
WHERE catastici.Rent_Income < 60
Limit 1;"
How many properties does each owner have?,"SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name, COUNT(catastici.Property_ID) AS num_properties
FROM catastici
GROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name;"
List the names of all property owners.,"SELECT DISTINCT catastici.Owner_First_Name, catastici.Owner_Family_Name 
FROM catastici"
"How many properties are there with the type of ""casa""?","SELECT COUNT(catastici.Property_ID) 
FROM catastici 
WHERE catastici.Property_Type = 'casa';"
"Which property types are present in ""calle di santa cattarina principia alle fondamenta nove""?","SELECT DISTINCT catastici.Property_Type 
FROM catastici 
WHERE catastici.Property_Location = 'calle di santa cattarina principia alle fondamenta nove';"
"What is the total number of ""casa in soler"" properties?","SELECT COUNT(catastici.Property_ID) 
FROM catastici 
WHERE catastici.Property_Type = 'casa in soler';"
How many unique property locations are there in the dataset?,SELECT COUNT(DISTINCT catastici.Property_Location) AS num_locations FROM catastici;
Who own properties in more than one location?,"SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name
FROM catastici
GROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name
HAVING COUNT(DISTINCT catastici.Property_Location) > 1;"
How many owners have more than one type of property?,"SELECT COUNT(*) AS num_owners_with_multiple_properties
FROM (SELECT catastici.Owner_First_Name, catastici.Owner_Family_Name
FROM catastici
GROUP BY catastici.Owner_First_Name, catastici.Owner_Family_Name
HAVING COUNT(DISTINCT catastici.Property_Type) > 1) AS owners_with_multiple_properties;"
"Are there properties of the same type in ""loco vicino la calle del paradiso"" owned by different families?","SELECT catastici.Property_Type, COUNT(DISTINCT catastici.Owner_Family_Name) AS num_families
FROM catastici
WHERE catastici.Property_Location = 'loco vicino la calle del paradiso'
GROUP BY catastici.Property_Type
HAVING COUNT(DISTINCT catastici.Owner_Family_Name) > 1
limit 1;"
